node,mean,sd,MC error,2.50%,median,97.50%,start,sample
S[1],0.07946,0.1038,0.001158,-0.1473,0.09146,0.2667,15001,40000
S[2],-0.1679,0.142,0.003381,-0.3824,-0.1872,0.1095,15001,40000
S[3],-0.2069,0.1222,0.002091,-0.4161,-0.2268,0.06097,15001,40000
S[4],0.08152,0.0798,6.04E-04,-0.07666,0.07937,0.2482,15001,40000
S[5],-0.1358,0.1028,0.001836,-0.3069,-0.1441,0.07654,15001,40000
S[6],0.2156,0.1045,0.002049,-0.002704,0.2305,0.3992,15001,40000
S[7],-0.01187,0.1007,0.001332,-0.2258,-0.001836,0.1683,15001,40000
S[8],0.01114,0.08588,4.95E-04,-0.1672,0.01176,0.1859,15001,40000
S[9],-0.04942,0.1017,0.001203,-0.2425,-0.05886,0.168,15001,40000
S[10],0.06075,0.1104,0.001684,-0.18,0.07565,0.2538,15001,40000
S[11],0.1808,0.1001,0.001793,-0.02713,0.1932,0.359,15001,40000
S[12],0.1336,0.09828,0.001381,-0.07013,0.1433,0.3173,15001,40000
S[13],0.1211,0.08672,0.001149,-0.05791,0.1275,0.2868,15001,40000
S[14],-0.2074,0.1429,0.003339,-0.4201,-0.2344,0.08594,15001,40000
S[15],-0.1403,0.1206,0.00201,-0.3523,-0.1591,0.125,15001,40000
S[16],-0.02333,0.09638,5.79E-04,-0.2272,-0.02011,0.1711,15001,40000
S[17],0.01736,0.09319,8.30E-04,-0.185,0.02459,0.1936,15001,40000
S[18],0.2032,0.107,0.001732,-0.02149,0.2155,0.4051,15001,40000
S[19],0.1586,0.09999,0.001099,-0.03819,0.1557,0.3687,15001,40000
S[20],-0.2281,0.1017,0.001649,-0.4252,-0.2347,-0.009843,15001,40000
S[21],0.08095,0.1219,0.002573,-0.1685,0.09511,0.2741,15001,40000
S[22],0.08052,0.1082,0.001507,-0.151,0.0941,0.2785,15001,40000
S[23],-0.2278,0.1066,0.002132,-0.4078,-0.2425,-0.00204,15001,40000
S[24],0.08397,0.08727,7.62E-04,-0.09832,0.0876,0.2575,15001,40000
S[25],-0.09791,0.109,0.001844,-0.2874,-0.1129,0.1343,15001,40000
S[26],-0.3703,0.1558,0.003929,-0.595,-0.4062,-0.0207,15001,40000
S[27],0.09688,0.1113,0.00178,-0.1452,0.1127,0.2952,15001,40000
S[28],-0.2323,0.1088,0.001849,-0.4309,-0.2467,3.93E-04,15001,40000
S[29],0.1433,0.1064,0.001151,-0.08004,0.1494,0.3561,15001,40000
S[30],0.02727,0.08621,5.66E-04,-0.1472,0.02397,0.2077,15001,40000
S[31],-0.1847,0.09556,0.001285,-0.3765,-0.1891,0.01159,15001,40000
S[32],0.5078,0.2074,0.005766,0.04018,0.5621,0.7765,15001,40000
SP[1],-3.764,0.004136,3.46E-05,-3.772,-3.764,-3.756,15001,40000
SP[2],-4.232,0.004023,3.51E-05,-4.24,-4.232,-4.224,15001,40000
SP[3],-4.183,0.00489,4.45E-05,-4.192,-4.183,-4.173,15001,40000
SP[4],-3.827,0.003523,2.99E-05,-3.833,-3.827,-3.82,15001,40000
SP[5],-4.148,0.004136,3.62E-05,-4.156,-4.148,-4.14,15001,40000
SP[6],-3.62,0.003998,3.80E-05,-3.628,-3.62,-3.613,15001,40000
SP[7],-3.846,0.003342,3.18E-05,-3.853,-3.846,-3.84,15001,40000
SP[8],-3.888,0.003478,3.11E-05,-3.895,-3.888,-3.881,15001,40000
SP[9],-3.989,0.003894,3.53E-05,-3.997,-3.989,-3.982,15001,40000
SP[10],-3.768,0.00369,3.49E-05,-3.775,-3.768,-3.761,15001,40000
SP[11],-3.659,0.003723,3.52E-05,-3.667,-3.659,-3.652,15001,40000
SP[12],-3.719,0.004494,4.32E-05,-3.728,-3.719,-3.71,15001,40000
SP[13],-3.735,0.003751,3.45E-05,-3.743,-3.735,-3.728,15001,40000
SP[14],-4.248,0.004901,4.31E-05,-4.258,-4.248,-4.238,15001,40000
SP[15],-4.105,0.004581,4.10E-05,-4.114,-4.105,-4.096,15001,40000
SP[16],-3.919,0.003847,3.32E-05,-3.927,-3.919,-3.912,15001,40000
SP[17],-3.841,0.003844,3.46E-05,-3.849,-3.841,-3.834,15001,40000
SP[18],-3.66,0.003973,3.53E-05,-3.668,-3.66,-3.652,15001,40000
SP[19],-3.757,0.005163,4.54E-05,-3.767,-3.757,-3.747,15001,40000
SP[20],-4.144,0.005763,5.33E-05,-4.156,-4.144,-4.133,15001,40000
SP[21],-3.691,0.003398,2.88E-05,-3.698,-3.691,-3.685,15001,40000
SP[22],-3.772,0.003618,3.36E-05,-3.779,-3.772,-3.765,15001,40000
SP[23],-4.214,0.005295,5.09E-05,-4.225,-4.214,-4.204,15001,40000
SP[24],-3.8,0.003418,3.34E-05,-3.806,-3.8,-3.793,15001,40000
SP[25],-4.077,0.00414,3.74E-05,-4.085,-4.077,-4.069,15001,40000
SP[26],-4.412,0.006119,5.40E-05,-4.424,-4.413,-4.401,15001,40000
SP[27],-3.745,0.003524,3.25E-05,-3.751,-3.745,-3.738,15001,40000
SP[28],-4.185,0.005327,4.60E-05,-4.196,-4.185,-4.175,15001,40000
SP[29],-3.74,0.003532,3.24E-05,-3.747,-3.74,-3.733,15001,40000
SP[30],-3.892,0.003956,3.55E-05,-3.9,-3.892,-3.884,15001,40000
SP[31],-4.103,0.004081,3.84E-05,-4.111,-4.103,-4.095,15001,40000
SP[32],-3.182,0.003312,2.94E-05,-3.188,-3.182,-3.175,15001,40000
alpha,-3.903,0.04564,4.54E-04,-3.994,-3.902,-3.812,15001,40000
"delta.centred[1,1]",0.04969,0.01138,8.75E-05,0.02726,0.04973,0.07177,15001,40000
"delta.centred[1,2]",0.06536,0.01081,8.46E-05,0.04426,0.06536,0.08643,15001,40000
"delta.centred[1,3]",-0.008931,0.01434,1.21E-04,-0.03707,-0.008984,0.01919,15001,40000
"delta.centred[1,4]",-0.04818,0.01454,1.20E-04,-0.0769,-0.04803,-0.02006,15001,40000
"delta.centred[1,5]",0.003811,0.01442,1.15E-04,-0.0245,0.003854,0.0322,15001,40000
"delta.centred[1,6]",0.01806,0.01317,1.02E-04,-0.007678,0.01807,0.04389,15001,40000
"delta.centred[1,7]",0.004298,0.0125,1.03E-04,-0.02025,0.004329,0.02864,15001,40000
"delta.centred[1,8]",8.08E-04,0.01219,8.94E-05,-0.02305,8.58E-04,0.02474,15001,40000
"delta.centred[1,9]",-0.04913,0.01226,9.79E-05,-0.07316,-0.04911,-0.02535,15001,40000
"delta.centred[1,10]",-0.05864,0.01198,9.40E-05,-0.08197,-0.05877,-0.03508,15001,40000
"delta.centred[1,11]",-0.01293,0.01161,8.62E-05,-0.036,-0.01285,0.009635,15001,40000
"delta.centred[1,12]",0.03578,0.01171,9.04E-05,0.01279,0.03584,0.05883,15001,40000
"delta.centred[2,1]",0.07101,0.01047,8.36E-05,0.05033,0.07103,0.09147,15001,40000
"delta.centred[2,2]",0.03154,0.01012,8.27E-05,0.01146,0.03157,0.05134,15001,40000
"delta.centred[2,3]",-0.09821,0.01348,1.06E-04,-0.1249,-0.09817,-0.07199,15001,40000
"delta.centred[2,4]",-0.1428,0.01377,1.23E-04,-0.1699,-0.1428,-0.1158,15001,40000
"delta.centred[2,5]",-0.05771,0.01343,1.08E-04,-0.08393,-0.05766,-0.03132,15001,40000
"delta.centred[2,6]",-0.003136,0.0123,9.34E-05,-0.02742,-0.003056,0.02085,15001,40000
"delta.centred[2,7]",0.01104,0.0115,9.51E-05,-0.01146,0.01107,0.03344,15001,40000
"delta.centred[2,8]",0.03221,0.01112,8.58E-05,0.01045,0.03218,0.05406,15001,40000
"delta.centred[2,9]",0.01553,0.01105,8.24E-05,-0.006019,0.01552,0.03707,15001,40000
"delta.centred[2,10]",0.009493,0.01086,8.84E-05,-0.01176,0.009519,0.03064,15001,40000
"delta.centred[2,11]",0.0555,0.0104,7.69E-05,0.03517,0.05553,0.07567,15001,40000
"delta.centred[2,12]",0.07555,0.01069,8.21E-05,0.05462,0.07557,0.09664,15001,40000
"delta.centred[3,1]",0.09819,0.01278,1.09E-04,0.07295,0.09823,0.123,15001,40000
"delta.centred[3,2]",0.1315,0.01235,1.02E-04,0.1073,0.1316,0.1555,15001,40000
"delta.centred[3,3]",-0.07796,0.01692,1.33E-04,-0.1111,-0.07807,-0.04475,15001,40000
"delta.centred[3,4]",-0.09618,0.01734,1.47E-04,-0.1303,-0.09603,-0.0626,15001,40000
"delta.centred[3,5]",-0.07874,0.0173,1.30E-04,-0.1128,-0.07878,-0.045,15001,40000
"delta.centred[3,6]",-0.09658,0.01607,1.29E-04,-0.1283,-0.09662,-0.0651,15001,40000
"delta.centred[3,7]",-0.1109,0.01513,1.24E-04,-0.1406,-0.1108,-0.08119,15001,40000
"delta.centred[3,8]",-0.03961,0.01441,1.18E-04,-0.06766,-0.03956,-0.01141,15001,40000
"delta.centred[3,9]",-0.002203,0.01408,1.08E-04,-0.02967,-0.002061,0.02531,15001,40000
"delta.centred[3,10]",-0.006294,0.01352,1.11E-04,-0.03273,-0.006276,0.02032,15001,40000
